iter	MultiClass
0	1.397368489
1	1.255945617
2	1.150807782
3	1.066828983
4	0.9975988269
5	0.9424623337
6	0.8937581347
7	0.8513386147
8	0.8147139613
9	0.7839099226
10	0.7562750585
11	0.733923385
12	0.7130196774
13	0.6938695131
14	0.6773351848
15	0.6630923222
16	0.6498103254
17	0.637765843
18	0.6265970328
19	0.6166346386
20	0.6073916883
21	0.5988602674
22	0.5914217549
23	0.5850871061
24	0.5790381816
25	0.5731671001
26	0.5684402426
27	0.5633788498
28	0.5588695355
29	0.5547070032
30	0.5513193209
31	0.5484665423
32	0.5458056507
33	0.5434494543
34	0.5409811068
35	0.5383810787
36	0.5359881979
37	0.5341709887
38	0.5319803636
39	0.530406854
40	0.5283272648
41	0.5264815012
42	0.5246058749
43	0.5233314073
44	0.5218890173
45	0.5204588187
46	0.5191621103
47	0.5179513625
48	0.5170535362
49	0.5162372525
50	0.5155181321
51	0.5146367963
52	0.5136767369
53	0.5126180373
54	0.5116822357
55	0.5108902583
56	0.510174739
57	0.5094280364
58	0.5086385357
59	0.5079447238
60	0.5070791801
61	0.5060621655
62	0.5053479402
63	0.5047555416
64	0.5040016704
65	0.5031005393
66	0.502451415
67	0.5017507169
68	0.5012834957
69	0.5009584961
70	0.5006183716
71	0.5001844713
72	0.4996238288
73	0.4991930332
74	0.4987333591
75	0.4984249422
76	0.4979977147
77	0.4973599457
78	0.4969585006
79	0.4963630082
80	0.4960143932
81	0.4957573185
82	0.4954868045
83	0.4949657566
84	0.4945902779
85	0.4941018011
86	0.4937445024
87	0.4932316699
88	0.4928792294
89	0.4923387491
90	0.4918967249
91	0.4917429985
92	0.4911375381
93	0.4906047457
94	0.4904297847
95	0.4899166871
96	0.4896076393
97	0.4892778285
98	0.4891052855
99	0.4888293566
100	0.4885083559
101	0.4881075409
102	0.487669696
103	0.4871158549
104	0.4869247938
105	0.4867543848
106	0.4863270111
107	0.4858292668
108	0.4855301687
109	0.485101458
110	0.4847045623
111	0.4844124732
112	0.4841960848
113	0.4839369614
114	0.4835518216
115	0.4831923913
116	0.482827608
117	0.4824093297
118	0.4820977229
119	0.4819075477
120	0.4816598915
121	0.4813077426
122	0.4808679068
123	0.4805072372
124	0.4801585188
125	0.4798797443
126	0.4794846205
127	0.4792393247
128	0.4790069098
129	0.4787804921
130	0.4786340838
131	0.4783027722
132	0.4779802032
133	0.4777226079
134	0.4774461375
135	0.4771428444
136	0.47690492
137	0.4766328816
138	0.476334404
139	0.476098918
140	0.4759530088
141	0.4757012656
142	0.4753483738
143	0.4750673723
144	0.4747437053
145	0.4744098572
146	0.4741110632
147	0.4738154138
148	0.4736328783
149	0.4733129531
150	0.4731457152
151	0.4729511107
152	0.472675598
153	0.4724521573
154	0.4722485017
155	0.4720736872
156	0.4718381853
157	0.4716903766
158	0.4714038764
159	0.4712724682
160	0.4710044094
161	0.4707055182
162	0.4704710528
163	0.4702248731
164	0.4701246883
165	0.4699061872
166	0.4696225338
167	0.4694296906
168	0.4692246735
169	0.4691111725
170	0.4689362103
171	0.4686434907
172	0.4685272011
173	0.468245536
174	0.4679688761
175	0.4677341207
176	0.4674587758
177	0.4673368896
178	0.4670893567
179	0.4668437826
180	0.4666849846
181	0.4665592966
182	0.4663099263
183	0.466094804
184	0.4659194963
185	0.4657651536
186	0.4655472042
187	0.4653026401
188	0.4651331257
189	0.464971481
190	0.4647492445
191	0.4644828516
192	0.4641675608
193	0.4639264682
194	0.4637083986
195	0.4635117524
196	0.463389503
197	0.4631401521
